City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
88,Faanui,PF,76.8,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
92,Mikhaylovka,RU,83.79,overcast clouds,50.06,43.2379,5 Komnat
100,Nchelenge,ZM,75.72,clear sky,-9.3451,28.734,KD Travellers Home
101,San Antonio,US,90.48,few clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
102,Rogers,US,87.03,broken clouds,36.3668,-95.5836,Claremore Motor Inn
105,Wurzen,DE,76.44,few clouds,51.3667,12.7333,Hotel Zur Post
108,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
109,Yarada,IN,83.68,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
110,Makakilo City,US,76.01,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
114,Mayo,US,88.14,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
118,Mopti,ML,84.6,light rain,14.6667,-4.0,
123,Russell,US,88.38,clear sky,32.3502,-85.1999,Macs
124,Horta,PT,76.64,broken clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
127,Malkangiri,IN,79.84,overcast clouds,18.35,81.9,MR-SAGAR_KUMAR_RTR™
128,Anloga,GH,77.13,overcast clouds,5.7947,0.8973,Pin Drop Hotel
130,Taos,US,75.54,clear sky,36.4072,-105.5731,El Monte Sagrado
131,Kintinku,TZ,79.7,broken clouds,-5.8833,35.2333,
132,Semnan,IR,84.04,clear sky,35.5729,53.3971,Semnan Tourist Hotel
133,Matara,LK,77.59,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
134,Mana,GF,87.57,scattered clouds,5.6592,-53.7767,LE SAMANA
135,Longhua,CN,78.26,overcast clouds,23.6137,114.1919,Huadu Hotel
137,Havelock,US,86.99,scattered clouds,34.8791,-76.9013,Sherwood Motel
138,Ejido,VE,77.02,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
141,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
143,Sao Filipe,CV,77.99,overcast clouds,14.8961,-24.4956,Hotel Xaguate
144,Meulaboh,ID,75.61,broken clouds,4.1363,96.1285,Kost Pria
146,Riverton,US,83.3,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
148,Honiara,SB,75.61,scattered clouds,-9.4333,159.95,Heritage Park Hotel
156,Komsomolskiy,UZ,83.12,broken clouds,40.4272,71.7189,Ikathouse
157,Najran,SA,90.25,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
160,Ribeira Grande,PT,77.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
162,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
165,Broome,US,84.2,few clouds,42.2506,-75.833,Chenango Valley State Park
168,Vila Franca Do Campo,PT,77.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
169,Kahului,US,77.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
173,Duarte,US,78.89,mist,34.1394,-117.9773,Courtyard by Marriott Los Angeles Pasadena/Monrovia
174,Novikovo,RU,75.16,broken clouds,51.1537,37.8879,
176,Itaituba,BR,93.36,few clouds,-4.2761,-55.9836,Hotel Campos
179,Villeneuve-Sur-Lot,FR,93.25,broken clouds,44.5,0.6667,Le Domaine De Beunes
182,Puerto Narino,CO,94.44,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
184,Muros,ES,86.68,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
185,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
